id|title|text
1123|2014 Guerrero earthquake|Blackouts were reported in Pachuca, Ecatepec, Chimalhuacán, Colonia del Valle, Nezahualcóyotl, Ixtapaluca, Azcapotzalco, Coyoacán, Xochimilco, Tláhuac, Cuauhtémoc, and around the state of Guerrero.
1124|<i>Holospira</i>|The genital system is like this: there is an atrium of moderate length, the penis is short, with a very long vas deferens, the retractor muscle being inserted at or just beyond the slightly swollen penis, and proximally attached to the floor of the lung, as usual.
1125|Short-range ballistic missile|In past and potential regional conflicts, these missiles have been and would be used because of the short distances between some countries and their relative low cost and ease of configuration.
1126|France at the 1936 Winter Olympics|France competed at the 1936 Winter Olympics in Garmisch-Partenkirchen, Germany.
1127|<i>Land of Canaan</i> (film)|The film is about a murder in the Goldfield Hotel, based on a true story.
1128|KF United Boys Gjakova|Their home ground is the Gjakovë Sports Complex which has a viewing capacity of 3,000.
1129|Libor Michálek|Czech President Miloš Zeman has publicly considered Michálek for leading the Supreme Audit Office.
1130|<i>Fatima</i> (2020 film)|While at Newmarket Films, Bob Berney released and oversaw the marketing strategy for Mel Gibson's 2004 film The Passion of the Christ.
1131|FCM Dinamo Onești|FCM Dinamo Onești was a Romanian professional football club from Onești, Bacău County, Romania, founded in 1994 and dissolved in 2015.
1132|National Revolutionary Army|The unit organisation of the NRA is as follows:.
1133|Club Deportivo Coronel Bolognesi|The club was founded in 1929 and play in the Peruvian Segunda División which is the second division of the Peruvian league.
1134|1951–52 FA Cup|At this stage clubs from the Football League Third Division North and South joined those non-league clubs having come through the qualifying rounds.
1135|Plumbeous hawk|It is threatened by habitat loss.
1136|Mt. Lebanon School District|Lebanon School District is the public school system in Allegheny County for residents of Mt.
1137|<i>Coussapoa</i>|Coussapoa is a genus of flowering plants belonging to the family Urticaceae.
1138|Sweet Honey in the Rock|Originally a four-person ensemble, the group has expanded to five-part harmonies, with a sixth member acting as a sign-language interpreter.
1139|<i>Unrestricted</i> (Da Brat album)|It was released on April 11, 2000.
1140|Password (record producer)|His versatility and dynamism in Music was influenced by a wide range of eclectic music sources, from hip hop to RnB, country music, African folk, reggae and dancehall.
1141|<i>Disterna pumila</i>|Disterna pumila is a species of beetle in the family Cerambycidae.
1142|<i>Melanopyge</i>|Melanopyge is a Neotropical genus of firetips in the family Hesperiidae.
1143|<i>Kiss Me</i> (2014 film)|Taking over 2 years to film and edit, this On February 9, 2012 it was confirmed that Jenna Fischer, Rita Wilson, Steven Weber, Davenia McFadden and John Corbett joined the cast.
1144|MT-LB|It is built at the Kharkiv Tractor Plant The crew, a driver and a commander/gunner, sit in a compartment at the front of the vehicle, with the engine behind them.
1145|<i>Slices of Life</i>|segment won the following awards while it toured festivals in 2007: The teaser trailer for the full film was applauded in the review by Christopher Stipp of Slash Films on April 23, 2010.
1146|Chuck Wepner|Wepner opted to join the U.
1147|Neil Flynn|Flynn's long-running role, Mike Heck, was on ABC's The Middle.
1148|Holger Sinding-Larsen|Sinding-Larsen was born in Christiania.
1149|Peone, Washington|Washington State Route 206 runs through the community, traveling from Mead, Washington on the west and up into Mount Spokane State Park on the east.
1150|Aquarius (SAC-D instrument)|ocean's surface produced by NASA.
1151|<i>The Life and Adventures of Nicholas Nickleby</i> (2001 film)|The Life and Adventures of Nicholas Nickleby is a British TV film which aired in 2001, directed by Stephen Whittaker, based on the 1839 novel Nicholas Nickleby by Charles Dickens.
1152|Maccabi Men's Challenger|The Maccabi Men's Challenger was a professional tennis tournament played on outdoor hard courts.
1153|Stretham Old Engine|It is one of only three surviving drainage engines in East Anglia, and is a Grade II* listed building.
1154|2011 World Table Tennis Championships|Hao Shuai / Mu Zi, 11–7, 11–7, 11–9, 9–11, 11–8.
1155|<i>Monumento a los Niños Héroes</i>|The six cadets are honored by an imposing monument made of Carrara marble by architect Enrique Aragón and sculptor Ernesto Tamariz at the entrance to Chapultepec Park.
1156|Calf Pasture Pumping Station Complex|The facility was listed on the National Register of Historic Places in 1990.
1157|<i>Titan Sports</i> (newspaper)|On 1 May 2008, three months before the opening of the Summer Olympics, titan24.
1158|Cardiff Central police station|These were replaced by sixty cells at the new Cardiff Bay police station, which opened in 2009.
1159|Roswell, South Dakota|The average household size was 1.
1160|<i>Schloss Gripsholm</i>|The dedication of the story is Für IA 47 407 which is the license plate of the car of Lisa Matthias  The story first appeared as a serial novel in Berliner Tageblatt, beginning on 20 March 1931.
1161|Mori Art Museum|At the end of 2019, chief curator Mami Kataoka was announced as the successor to Fumio Nanjo.
1162|Palainiškiai|Palainiškiai from Ąžuolaičiai, by the Kėdainiai-Krakės road, inside the Josvainiai Forest, by the Smilga river.
1163|Brad Arthur|In 2016, Arthur was at the forefront of the salary cap scandal which rocked the club but was praised by the media and the players for his leadership skills and managing to keep the team together.
1164|Villaluenga del Rosario|According to the 2005 census, the city has a population of 481 inhabitants.
1165|Tommy Jakobsen|Jakobsen was expelled from the 2010 World Championship tournament for intentional physical contact with an on-ice official during a 12-1 loss to Canada.
1166|Rebekha Sharkie|Sharkie was born in Torbay, England in 1972 to British and American parents.
1167|Ewald Grothe|He received his doctorate there in 1994 under Hellmut Seier on the constitutional history of the Electorate of Hesse.
1168|Givet|Wolfe, also a prisoner, established a school of navigation for the imprisoned British sailors.
1169|<i>The Slap</i> (novel)|An American adaptation of the series, with Melissa George reprising her role as Rosie, the slapped child's mother, premiered on the NBC network in February 2015.
1170|Gruber Wagon Works|It now serves as part of a county open-air museum.
1171|WHBY|On September 16, 1991, the staff of both WHBY and WYNE were informed that Woodward Communications, parent of WHBY, would be purchasing WYNE from Fox Valley Broadcasting, Inc.
1172|Claudia Ledesma Abdala|Her father, Oscar Ledesma, was active in local politics as a supporter of Governor Carlos Juárez.
1173|Let It Roll (Flo Rida song)|* Sales figures based on certification alone.
1174|Chondromalacia patellae|The doctor touches your patella & closes proximity, feels the joint to observe when & how the distress shows itself & gets a checklist of your symptoms & clinical history.
1175|George Frederick Blackwood|Blackwood arrived in India in the midst of the Indian Mutiny, and was at once appointed to command two guns in Colonel Wilkinson's Rohilcund movable column.
1176|<i>Now and After</i>|Since then, the book – most frequently the abridged version – has been reprinted many times and translated into many languages.
1177|Sarangani Provincial Board|The vice governor is elected via the plurality voting system province-wide.
1178|L'Égyptienne (song)|The song was written by Atlas, Matthias Canavese, Stéfane Mellino and Michel Ochowiak and produced by Les Négresses Vertes for the Atlas' second album Halim.
1179|2020–21 Western Michigan Broncos men's basketball team|Roster Last update: January 12, 2021.
1180|American Psycho (song)|It was released in July 2000 as the lead single from their fourth album, Wide Awake Bored.
1181|SWAPO Democrats|Formed in Sweden on 10 June 1978, the party was led by former leading SWAPO members Andreas Shipanga , and Emil Appolus SWAPO-D were generally seen by SWAPO as traitors and collaborators with the apartheid regime.
1182|Knepp Wildland|The story of the Knepp Wildland project is told in the 2018 book Wilding: The Return of Nature to a British Farm which is written by Isabella Tree, who lives at Knepp and is married to Charles Burrell and helped create the Wildland project.
1183|<i>The Holy Family with Three Hares</i>|1496 woodcut by German artist Albrecht Dürer.
1184|<i>Bonnetina</i>|Only the sexual features were observed not to be homoplastic, suggesting that sexual selection may have been a driving force in their divergence.
1185|Minister for Innovation and Public Administration (Albania)|During this mandate Albania transformed the merit-based recruitment system for civil servants and the management of public employees careers and trainings.
1186|Velika Ivanča shooting|Ljubiša Bogdanović was born in Velika Ivanča.
1187|<i>The Cosmonaut</i>|Regarding distribution, the new plan's objective is the simultaneous premiere in all release windows.
1188|William Gadsby|In 1805 he became pastor of Black Lane Chapel, Strict Baptist church in Manchester, England, and held that position until he died.
1189|<i>Greatest Hits – Chapter One</i> (Kelly Clarkson album)|It debuted on the Billboard Hot 100 at number 54 and peaked at number 19, becoming Clarkson's 15th top-40 hit on the chart.
